pTrdSymbol;pSymbol;pSymbolName;pGroup;pExSeg;pInstType
772MP49-SG;761018;772MP49;SG;;
692PFCL28-N0;761026;692PFCL28;N0;;
INFRA-BL;761032;INFRA;BL;;
SILGOPP-E1;761034;SILGOPP;E1;;
CEINSYS-BL;761039;CEINSYS;BL;;
805NMC35-N7;761081;805NMC35;N7;;
SBIMIDMOM-EQ;761095;SBIMIDMOM;EQ;;
852IIFL29-Y5;761117;852IIFL29;Y5;;
IIFL60326-YB;761123;IIFL60326;YB;;
VITAL-BL;761151;VITAL;BL;;
KRISHNADEF-BL;761195;KRISHNADEF;BL;;
723BOI35-N0;761206;723BOI35;N0;;
775BTL28-N0;761307;775BTL28;N0;;
664TN29-SG;761318;664TN29;SG;;
744KA36A-SG;761325;744KA36A;SG;;
KOTYARK-EQ;761335;KOTYARK;EQ;;
860AEL28-NH;761340;860AEL28;NH;;
AEL12126-NI;761341;AEL12126;NI;;
AAFS31-N0;761367;AAFS31;N0;;
765AP43-SG;761375;765AP43;SG;;
774MP47-SG;761379;774MP47;SG;;
745DL36-SG;761385;745DL36;SG;;
77TS54-SG;761412;77TS54;SG;;
769HR42A-SG;761419;769HR42A;SG;;
SINGERIND-EQ;761420;SINGERIND;EQ;;
766JCL31-N0;761436;766JCL31;N0;;
771KL53-SG;761452;771KL53;SG;;
738GJ35-SG;761453;738GJ35;SG;;
SHADOWFAX-BL;761472;SHADOWFAX;BL;;
777TR41-SG;761476;777TR41;SG;;
746TN35-SG;761478;746TN35;SG;;
ARSIFHRG-SF;761540;ARSIFHRG;SF;;
ARSIFHDG-SF;761544;ARSIFHDG;SF;;
738NL31-SG;761550;738NL31;SG;;
744GJ33-SG;761553;744GJ33;SG;;
787SK36-SG;761560;787SK36;SG;;
768KL36-SG;761562;768KL36;SG;;
776HR39-SG;761569;776HR39;SG;;
699MH29-SG;8128;699MH29;SG;;
COOLCAPS-SM;8560;COOLCAPS;SM;;
783AP43-SG;761573;783AP43;SG;;
ALSRP-SF;761597;ALSRP;SF;;
APSIFHLSRG-SF;761607;APSIFHLSRG;SF;;
ISIFHLSDG-SF;761653;ISIFHLSDG;SF;;
AARNAV-BL;761823;AARNAV;BL;;
GSPCROP-EQ;762239;GSPCROP;EQ;;
IIFLHFZC27-NB;7666;IIFLHFZC27;NB;;
SAGARDEEP-EQ;8175;SAGARDEEP;EQ;;
SAGARDEEP-BL;8177;SAGARDEEP;BL;;
685AS29-SG;8186;685AS29;SG;;
IONEXCHANG-BL;8213;IONEXCHANG;BL;;
743MP43-SG;759031;743MP43;SG;;
SIDDHICOTS-ST;759056;SIDDHICOTS;ST;;
795AMLIL35-N0;759073;795AMLIL35;N0;;
12AFIL27A-N0;759098;12AFIL27A;N0;;
ABCOTS-BL;759142;ABCOTS;BL;;
JAYESH-SM;759159;JAYESH;SM;;
MWL-EQ;759169;MWL;EQ;;
743OR40-SG;759189;743OR40;SG;;
735TCHFL35-N0;759222;735TCHFL35;N0;;
ASIFDG-SF;759224;ASIFDG;SF;;
ASIFRD-SF;759226;ASIFRD;SF;;
AAFS30A-N0;759275;AAFS30A;N0;;
915SCL30-N0;759279;915SCL30;N0;;
QSIFHDG-SF;759285;QSIFHDG;SF;;
BLUESTONE-EQ;759291;BLUESTONE;EQ;;
NIFTYCASE-EQ;759302;NIFTYCASE;EQ;;
CRAMC-EQ;759311;CRAMC;EQ;;
RUBICON-EQ;759316;RUBICON;EQ;;
757PN37-SG;759321;757PN37;SG;;
753TS52-SG;759335;753TS52;SG;;
744TN55A-SG;759337;744TN55A;SG;;
PACEDIGITK-EQ;759342;PACEDIGITK;EQ;;
SYSTMTXC-EQ;759355;SYSTMTXC;EQ;;
ADVANCE-EQ;759402;ADVANCE;EQ;;
GREENLEAF-SM;759424;GREENLEAF;SM;;
GROWWRLTY-BL;759430;GROWWRLTY;BL;;
VIKRAMSOLR-BL;759456;VIKRAMSOLR;BL;;
975PCPL27-N0;759494;975PCPL27;N0;;
91PFL35-N0;759558;91PFL35;N0;;
905PFL26-N1;759562;905PFL26;N1;;
STUDDS-EQ;759587;STUDDS;EQ;;
985CCSP28-N0;759592;985CCSP28;N0;;
754CG38-SG;759701;754CG38;SG;;
9PCPL28B-N0;759710;9PCPL28B;N0;;
746JK45-SG;759745;746JK45;SG;;
ADVENTHTL-BL;759770;ADVENTHTL;BL;;
701NGEL35-N0;759774;701NGEL35;N0;;
12DCCL27-N0;759793;12DCCL27;N0;;
SMALL250-BL;759816;SMALL250;BL;;
SICCL28-N0;759832;SICCL28;N0;;
686NBFID30-N0;759834;686NBFID30;N0;;
SHILCTECH-EQ;759847;SHILCTECH;EQ;;
726JCL30-N0;759872;726JCL30;N0;;
CHEMICAL-BL;759887;CHEMICAL;BL;;
UTLSOLAR-BL;759889;UTLSOLAR;BL;;
744RJ33B-SG;759909;744RJ33B;SG;;
754PN34-SG;759911;754PN34;SG;;
738KA34-SG;759914;738KA34;SG;;
SOLARWORLD-BL;759932;SOLARWORLD;BL;;
JARO-EQ;759951;JARO;EQ;;
656RJ29-SG;759984;656RJ29;SG;;
AONETMMQ50-EQ;759992;AONETMMQ50;EQ;;
AONETMMQ50-BL;759994;AONETMMQ50;BL;;
CGPOWER-EQ;760;CGPOWER;EQ;;
MOSERVICE-BL;760003;MOSERVICE;BL;;
724RJ36A-SG;760016;724RJ36A;SG;;
741HR40-SG;760019;741HR40;SG;;
364D261126-TB;760030;364D261126;TB;;
ROCKPP-X1;760034;ROCKPP;X1;;
675HP29-SG;760063;675HP29;SG;;
709TN32-SG;760064;709TN32;SG;;
72TN35-SG;760069;72TN35;SG;;
744MP38-SG;760070;744MP38;SG;;
JAYKAY-BL;760075;JAYKAY;BL;;
754MP48-SG;760088;754MP48;SG;;
364D031226-TB;760100;364D031226;TB;;
GLOTTIS-BL;760119;GLOTTIS;BL;;
INVICTA-SM;760139;INVICTA;SM;;
769BR54-SG;760163;769BR54;SG;;
GAUDIUMIVF-BL;760181;GAUDIUMIVF;BL;;
CLEANMAX-BL;760186;CLEANMAX;BL;;
MEESHO-EQ;760229;MEESHO;EQ;;
ABSL10BANK-EQ;760247;ABSL10BANK;EQ;;
ABSL10BANK-BL;760249;ABSL10BANK;BL;;
677TN29-SG;760274;677TN29;SG;;
719GJ33-SG;760275;719GJ33;SG;;
752HR42-SG;760294;752HR42;SG;;
755AR45-SG;760296;755AR45;SG;;
810SIHF35-N0;760312;810SIHF35;N0;;
915APSBC34-N0;760378;915APSBC34;N0;;
73TFSIL29-N0;760393;73TFSIL29;N0;;
722TFSI28-N0;760431;722TFSI28;N0;;
SHIVATEX-EQ;804;SHIVATEX;EQ;;
MIDCAP-BL;8079;MIDCAP;BL;;
MID150BEES-EQ;8506;MID150BEES;EQ;;
SFMP61DR-MF;8647;SFMP61DR;MF;;
VETO-EQ;8652;VETO;EQ;;
SMVD-ST;850;SMVD;ST;;
HARIOMPIPE-BL;8972;HARIOMPIPE;BL;;
PARASPETRO-BE;8975;PARASPETRO;BE;;
ANUP-EQ;9014;ANUP;EQ;;
VCL-EQ;9020;VCL;EQ;;
AVROIND-EQ;8827;AVROIND;EQ;;
DRREDDY-EQ;881;DRREDDY;EQ;;
E2E-BL;8941;E2E;BL;;
RITCO-BL;8949;RITCO;BL;;
ASTRON-EQ;874;ASTRON;EQ;;
734NL32-SG;8698;734NL32;SG;;
734UP32-SG;8693;734UP32;SG;;
734MN32A-SG;8695;734MN32A;SG;;
713RJ29-SG;8680;713RJ29;SG;;
717TN30-SG;8681;717TN30;SG;;
727ML32-SG;8576;727ML32;SG;;
737RJ34-SG;8578;737RJ34;SG;;
PNBGILTS-EQ;8736;PNBGILTS;EQ;;
SNXT50BETA-BL;9169;SNXT50BETA;BL;;
UFO-BL;9050;UFO;BL;;
ROTO-BL;9055;ROTO;BL;;
H1876D46DG-MF;8773;H1876D46DG;MF;;
SFMP61GD-MF;8648;SFMP61GD;MF;;
734AP40-SG;8932;734AP40;SG;;
667RJ30-SG;87;667RJ30;SG;;
DCMFINSERV-BE;8704;DCMFINSERV;BE;;
925SCL27-YR;9262;925SCL27;YR;;
SGBFEB27-GB;8766;SGBFEB27;GB;;
GAEL-EQ;8828;GAEL;EQ;;
ABSLFTTQDG-MF;8676;ABSLFTTQDG;MF;;
AGROPHOS-EQ;9046;AGROPHOS;EQ;;
MOLOWVOL-BL;8656;MOLOWVOL;BL;;
VERANDA-BL;8926;VERANDA;BL;;
729GJ32-SG;8683;729GJ32;SG;;
729RJ32-SG;8684;729RJ32;SG;;
ASTRON-BL;879;ASTRON;BL;;
S&SPOWER-BE;8733;S&SPOWER;BE;;
H1876D46DQ-MF;8774;H1876D46DQ;MF;;
H1876D46RQ-MF;8777;H1876D46RQ;MF;;
PIXTRANS-BL;9090;PIXTRANS;BL;;
739UP37-SG;8705;739UP37;SG;;
VERANDA-EQ;8890;VERANDA;EQ;;
TECHNOE-BL;6447;TECHNOE;BL;;
SHUBHLAXMI-SM;6451;SHUBHLAXMI;SM;;
703MN31-SG;6479;703MN31;SG;;
696TN31-SG;6481;696TN31;SG;;
NHIT-IV;6531;NHIT;IV;;
EQUITASBNK-BL;920;EQUITASBNK;BL;;
TPLPLASTEH-BL;9222;TPLPLASTEH;BL;;
GOLDTECH-EQ;9874;GOLDTECH;EQ;;
SMARTLINK-EQ;9889;SMARTLINK;EQ;;
AIRAN-EQ;9897;AIRAN;EQ;;
TNIDETF-EQ;8882;TNIDETF;EQ;;
TNIDETF-BL;8887;TNIDETF;BL;;
687AS31-SG;5670;687AS31;SG;;
NIFTYETF-EQ;6353;NIFTYETF;EQ;;
CCHHL-BL;6401;CCHHL;BL;;
KRITI-BL;6419;KRITI;BL;;
MANORG-EQ;6422;MANORG;EQ;;
ECOLINE-SM;759961;ECOLINE;SM;;
PAUSHAKLTD-EQ;759969;PAUSHAKLTD;EQ;;
ESENSEX-EQ;759995;ESENSEX;EQ;;
ENIFTY-EQ;759998;ENIFTY;EQ;;
ENIFTY-BL;760000;ENIFTY;BL;;
EXCELSOFT-BL;760010;EXCELSOFT;BL;;
MOMNC-EQ;760054;MOMNC;EQ;;
764CG40-SG;760060;764CG40;SG;;
767HR41-SG;760061;767HR41;SG;;
72MP33-SG;760066;72MP33;SG;;
717GJ34-SG;760067;717GJ34;SG;;
749TS39-SG;760071;749TS39;SG;;
75WB37-SG;760097;75WB37;SG;;
SUBAHOTELS-SM;760112;SUBAHOTELS;SM;;
FABTECH-EQ;760125;FABTECH;EQ;;
739TPL28-N0;760131;739TPL28;N0;;
SPEB-SM;760135;SPEB;SM;;
CLEANMAX-EQ;760183;CLEANMAX;EQ;;
LGEINDIA-BL;760216;LGEINDIA;BL;;
8SMC29-N1;760218;8SMC29;N1;;
WAKEFIT-EQ;760259;WAKEFIT;EQ;;
WAKEFIT-BL;760262;WAKEFIT;BL;;
744AP35-SG;760268;744AP35;SG;;
MODINATUR-BL;760279;MODINATUR;BL;;
879SCL30-N0;760284;879SCL30;N0;;
886SCL30-N0;760286;886SCL30;N0;;
765JK37-SG;760291;765JK37;SG;;
GOLDBND-EQ;760325;GOLDBND;EQ;;
716TN32-SG;760337;716TN32;SG;;
SMALLADD-EQ;760359;SMALLADD;EQ;;
915APSBC33-N0;760376;915APSBC33;N0;;
TOP20-EQ;760415;TOP20;EQ;;
GROWWMETAL-BL;760440;GROWWMETAL;BL;;
754MN38-SG;760443;754MN38;SG;;
895PAPL28-N0;760465;895PAPL28;N0;;
756AS45-SG;760473;756AS45;SG;;
757WB46-SG;760477;757WB46;SG;;
69RJ29-SG;760479;69RJ29;SG;;
719KA32-SG;760503;719KA32;SG;;
734TN34A-SG;760508;734TN34A;SG;;
76TS42-SG;760517;76TS42;SG;;
182D260626-TB;760525;182D260626;TB;;
783CIFCL28-N0;760553;783CIFCL28;N0;;
759MP44-SG;760583;759MP44;SG;;
76AP44A-SG;760584;76AP44A;SG;;
761WB45-SG;760586;761WB45;SG;;
765AS38-SG;760668;765AS38;SG;;
905SCL36-N0;760731;905SCL36;N0;;
AVANA-SM;760733;AVANA;SM;;
AMAGI-EQ;760740;AMAGI;EQ;;
14DCCL31-N0;760767;14DCCL31;N0;;
182D060826-TB;760784;182D060826;TB;;
768AS41-SG;760791;768AS41;SG;;
705PFCL41-NA;760808;705PFCL41;NA;;
720PFCL41-NB;760809;720PFCL41;NB;;
PFCL41-ND;760823;PFCL41;ND;;
364D040327-TB;760888;364D040327;TB;;
DSFCL-BL;760892;DSFCL;BL;;
775TS53-SG;760938;775TS53;SG;;
91D140526-TB;760939;91D140526;TB;;
ATLPP-BL;760955;ATLPP;BL;;
790TPL29-N0;760964;790TPL29;N0;;
FRACTAL-BL;760979;FRACTAL;BL;;
698GJ31A-SG;761008;698GJ31A;SG;;
CEINSYS-EQ;761037;CEINSYS;EQ;;
MARUSHIKA-SM;761042;MARUSHIKA;SM;;
925ISF28-N0;761208;925ISF28;N0;;
ALGOQUANT-BL;761272;ALGOQUANT;BL;;
756NIIF31-N0;761301;756NIIF31;N0;;
785BTL29-N0;761309;785BTL29;N0;;
733AS32-SG;8688;733AS32;SG;;
734UK32-SG;8689;734UK32;SG;;
SONAMLTD-EQ;8806;SONAMLTD;EQ;;
CHOICEIN-BL;8873;CHOICEIN;BL;;
SELMC-EQ;6262;SELMC;EQ;;
MEDICAMEQ-BL;6280;MEDICAMEQ;BL;;
GULPOLY-EQ;6286;GULPOLY;EQ;;
HEALTHY-EQ;6297;HEALTHY;EQ;;
MOSILVER-EQ;758457;MOSILVER;EQ;;
RAYMONDREL-BL;758552;RAYMONDREL;BL;;
666SIDBI28-N0;758644;666SIDBI28;N0;;
754TS51-SG;758664;754TS51;SG;;
975ISF35-N0;758708;975ISF35;N0;;
713AS31-SG;758713;713AS31;SG;;
725OR33-SG;758714;725OR33;SG;;
749RJ35-SG;758718;749RJ35;SG;;
782JK42-SG;758722;782JK42;SG;;
699TN32-SG;758831;699TN32;SG;;
GENSOL-BZ;758842;GENSOL;BZ;;
718MH33-SG;758845;718MH33;SG;;
751HR41-SG;758851;751HR41;SG;;
773AIFL28-N0;758876;773AIFL28;N0;;
748MP42-SG;758883;748MP42;SG;;
75MP44-SG;758884;75MP44;SG;;
AMANTA-EQ;758909;AMANTA;EQ;;
772TS63-SG;758922;772TS63;SG;;
627TN27-SG;758923;627TN27;SG;;
773PN32-SG;758926;773PN32;SG;;
762AP36-SG;758933;762AP36;SG;;
774TS51-SG;758937;774TS51;SG;;
STLNETWORK-EQ;758958;STLNETWORK;EQ;;
AHCL-BL;758971;AHCL;BL;;
VIKRAN-EQ;758973;VIKRAN;EQ;;
RNBDENIMS-BE;758984;RNBDENIMS;BE;;
GANESHCP-BL;759015;GANESHCP;BL;;
745BR50-SG;759038;745BR50;SG;;
ABCRESET28-N0;759067;ABCRESET28;N0;;
DEVX-EQ;759079;DEVX;EQ;;
SHRINGARMS-BL;759096;SHRINGARMS;BL;;
677TCL28-N0;759101;677TCL28;N0;;
VMSTMT-BL;759155;VMSTMT;BL;;
TIGERLOGS-EQ;759176;TIGERLOGS;EQ;;
719TN33-SG;759182;719TN33;SG;;
FINKURVE-BL;759241;FINKURVE;BL;;
950ISF35-N0;759249;950ISF35;N0;;
TATACAP-BL;759268;TATACAP;BL;;
12AFIL28-N0;759283;12AFIL28;N0;;
NIFTYCASE-BL;759304;NIFTYCASE;BL;;
731JK45-SG;759310;731JK45;SG;;
CRAMC-BL;759314;CRAMC;BL;;
748MP45-SG;759330;748MP45;SG;;
752TS54-SG;759336;752TS54;SG;;
RUBICON-BL;759361;RUBICON;BL;;
MOENERGY-EQ;759374;MOENERGY;EQ;;
714AP33-SG;759386;714AP33;SG;;
726MH42-SG;759391;726MH42;SG;;
GROWWRLTY-EQ;759428;GROWWRLTY;EQ;;
182D090426-TB;759432;182D090426;TB;;
364D081026-TB;759433;364D081026;TB;;
WEWORK-BL;759437;WEWORK;BL;;
PATELRMART-EQ;759439;PATELRMART;EQ;;
875PFL27-N0;759470;875PFL27;N0;;
705JCL27-N0;759472;705JCL27;N0;;
CANHLIFE-EQ;759477;CANHLIFE;EQ;;
74MP47-SG;759493;74MP47;SG;;
GROWWSC250-EQ;759522;GROWWSC250;EQ;;
912PFL27-N0;759560;912PFL27;N0;;
935PFL33-N3;759564;935PFL33;N3;;
ORKLAINDIA-EQ;759569;ORKLAINDIA;EQ;;
ORKLAINDIA-BL;759572;ORKLAINDIA;BL;;
710PFCL40-N0;759574;710PFCL40;N0;;
748KL45-SG;759595;748KL45;SG;;
745TS57-SG;759597;745TS57;SG;;
CHOICEGOLD-EQ;759610;CHOICEGOLD;EQ;;
CHOICEGOLD-BL;759612;CHOICEGOLD;BL;;
762UP41-SG;759705;762UP41;SG;;
724SFL28-N0;759714;724SFL28;N0;;
FINBUD-SM;759776;FINBUD;SM;;
ENERGY-EQ;759780;ENERGY;EQ;;
692AVTL28-N0;759789;692AVTL28;N0;;
113ESFB31B-N0;759791;113ESFB31B;N0;;
EUROPRATIK-BL;759800;EUROPRATIK;BL;;
SHETHJI-SM;759802;SHETHJI;SM;;
364D121126-TB;759831;364D121126;TB;;
BETA-BL;759845;BETA;BL;;
72841ABH30-N0;759874;72841ABH30;N0;;
677MH30-SG;759907;677MH30;SG;;
744KA36-SG;759917;744KA36;SG;;
730BTL27-N0;759920;730BTL27;N0;;
STYL-EQ;759934;STYL;EQ;;
STYL-BL;759937;STYL;BL;;
799GSGL28-N0;759941;799GSGL28;N0;;
JARO-BL;759954;JARO;BL;;
ABSLFTTQRN-MF;8678;ABSLFTTQRN;MF;;
CHOICEIN-EQ;8866;CHOICEIN;EQ;;
BEWLTD-SM;5662;BEWLTD;SM;;
697TN31C-SG;6096;697TN31C;SG;;
675KA33A-SG;618;675KA33A;SG;;
702RECL40-N0;756741;702RECL40;N0;;
651UP32-SG;756808;651UP32;SG;;
663AS35-SG;756809;663AS35;SG;;
684KL47-SG;756815;684KL47;SG;;
685RJ51-SG;756817;685RJ51;SG;;
654TN31-SG;756853;654TN31;SG;;
667AP32-SG;756854;667AP32;SG;;
679PN45-SG;756860;679PN45;SG;;
677MP39-SG;756865;677MP39;SG;;
ENRIN-BL;756872;ENRIN;BL;;
759GIL30-N0;756876;759GIL30;N0;;
7IREDAL30-N0;756878;7IREDAL30;N0;;
686NHPCL37-N0;756905;686NHPCL37;N0;;
676JK31-SG;756908;676JK31;SG;;
688PN46-SG;756915;688PN46;SG;;
689NTPC35-N0;756938;689NTPC35;N0;;
CRISIL-EQ;757;CRISIL;EQ;;
RAJOOENG-BL;757051;RAJOOENG;BL;;
AONENIFTY-BL;757098;AONENIFTY;BL;;
MOMGF-BL;757101;MOMGF;BL;;
BELRISE-EQ;757102;BELRISE;EQ;;
677AS40-SG;757113;677AS40;SG;;
677TN40-SG;757114;677TN40;SG;;
364D140526-TB;757122;364D140526;TB;;
708TML28A-N0;757125;708TML28A;N0;;
747ABCL29-N0;757146;747ABCL29;N0;;
MONEXT50-EQ;757167;MONEXT50;EQ;;
930APMD27-N0;757178;930APMD27;N0;;
930APMD29-N0;757182;930APMD29;N0;;
1025VCCL28-N0;757413;1025VCCL28;N0;;
642JK31A-SG;757426;642JK31A;SG;;
902SCL2030-NG;757472;902SCL2030;NG;;
955SCL35-NO;757499;955SCL35;NO;;
BLUSPRING-BL;757521;BLUSPRING;BL;;
698MH37-SG;757547;698MH37;SG;;
704MH40-SG;757552;704MH40;SG;;
709KL52-SG;757557;709KL52;SG;;
364D250626-TB;757564;364D250626;TB;;
730NIIF28-N0;757567;730NIIF28;N0;;
714MH46-SG;757655;714MH46;SG;;
686AS35-SG;757733;686AS35;SG;;
715MH46-SG;757738;715MH46;SG;;
714TS55-SG;757743;714TS55;SG;;
591GS2028-GS;757753;591GS2028;GS;;
PICCADIL-BL;757756;PICCADIL;BL;;
SAMBHV-EQ;757767;SAMBHV;EQ;;
MMEL-SM;757810;MMEL;SM;;
GROWWNET-BL;757816;GROWWNET;BL;;
712LTFL28-N0;757828;712LTFL28;N0;;
RMDRIP-EQ;757834;RMDRIP;EQ;;
91PFL30-N0;757841;91PFL30;N0;;
AEL17725-NA;757870;AEL17725;NA;;
INTEGRITY-SM;757902;INTEGRITY;SM;;
BORANA-BE;757920;BORANA;BE;;
715MH49-SG;757929;715MH49;SG;;
713MH48-SG;757935;713MH48;SG;;
SMARTWORKS-EQ;757965;SMARTWORKS;EQ;;
EUROBOND-BL;757973;EUROBOND;BL;;
SELLOWRAP-SM;757982;SELLOWRAP;SM;;
CHEMBONDCH-EQ;757989;CHEMBONDCH;EQ;;
SHANTIGOLD-BL;758005;SHANTIGOLD;BL;;
712SHFL30-N0;758143;712SHFL30;N0;;
696AP33-SG;758203;696AP33;SG;;
670RECL29-N0;758296;670RECL29;N0;;
GROWWLOVOL-BL;758302;GROWWLOVOL;BL;;
635LT28-N0;758336;635LT28;N0;;
12VCCL27D-N0;758338;12VCCL27D;N0;;
118VCCL27-N0;758342;118VCCL27;N0;;
SSFLPP-BL;758422;SSFLPP;BL;;
AMCL-ST;758430;AMCL;ST;;
DPABHUSHAN-BL;944;DPABHUSHAN;BL;;
774HR35-SG;9444;774HR35;SG;;
SONUINFRA-SM;9458;SONUINFRA;SM;;
LICI-BL;9483;LICI;BL;;
705WB36-SG;6001;705WB36;SG;;
865IRFC29-NA;603;865IRFC29;NA;;
EIFFL-BL;6043;EIFFL;BL;;
CYBERTECH-EQ;6051;CYBERTECH;EQ;;
LICNETFGSC-EQ;6062;LICNETFGSC;EQ;;
LICNETFGSC-BL;6063;LICNETFGSC;BL;;
DYNAMIC-SM;6079;DYNAMIC;SM;;
629RJ26A-SG;7500;629RJ26A;SG;;
703AS31-SG;7512;703AS31;SG;;
714TS33-SG;7538;714TS33;SG;;
714AP35-SG;7540;714AP35;SG;;
714JK36-SG;7543;714JK36;SG;;
712WB36-SG;7548;712WB36;SG;;
ABCL28-N6;755945;ABCL28;N6;;
80208ABC30-ND;755952;80208ABC30;ND;;
81ABCL29-NI;755957;81ABCL29;NI;;
ABCRESET27-NM;755961;ABCRESET27;NM;;
762TCL30-N0;755990;762TCL30;N0;;
10UCL26-ND;755996;10UCL26;ND;;
WAAREERTL-EQ;756038;WAAREERTL;EQ;;
364D240426-TB;756068;364D240426;TB;;
674UK35-SG;756092;674UK35;SG;;
675HR38-SG;756094;675HR38;SG;;
UNITEDPOLY-BL;7565;UNITEDPOLY;BL;;
707LICH30-N0;756707;707LICH30;N0;;
EMBASSY-BL;9405;EMBASSY;BL;;
USHAMART-EQ;8840;USHAMART;EQ;;
710GS2029-GS;9047;710GS2029;GS;;
UMAEXPORTS-BL;8851;UMAEXPORTS;BL;;
QUADPRO-SM;5870;QUADPRO;SM;;
683GA31-SG;5882;683GA31;SG;;
AXISBANK-EQ;5900;AXISBANK;EQ;;
661KA30-SG;593;661KA30;SG;;
BSLSENETFG-EQ;5957;BSLSENETFG;EQ;;
MANAKCOAT-EQ;7413;MANAKCOAT;EQ;;
NIFTYADD-BL;7455;NIFTYADD;BL;;
729AP34-SG;8930;729AP34;SG;;
RITCO-EQ;8944;RITCO;EQ;;
TTML-EQ;8954;TTML;EQ;;
ELDEHSG-BL;8956;ELDEHSG;BL;;
KHAICHEM-EQ;896;KHAICHEM;EQ;;
HARDWYN-BL;8966;HARDWYN;BL;;
676PN40-SG;877;676PN40;SG;;
BCG-BL;8837;BCG;BL;;
UMAEXPORTS-EQ;8842;UMAEXPORTS;EQ;;
LIKHITHA-EQ;578;LIKHITHA;EQ;;
925SCL26-NR;5850;925SCL26;NR;;
BANKNIFTY1-EQ;5851;BANKNIFTY1;EQ;;
975SCL28-NT;5857;975SCL28;NT;;
935SCL28-NV;5861;935SCL28;NV;;
SETFNN50-EQ;7353;SETFNN50;EQ;;
SETFNN50-BL;7360;SETFNN50;BL;;
CAMPUS-EQ;9362;CAMPUS;EQ;;
H187646RG-MF;8761;H187646RG;MF;;
CEMPRO-EQ;5622;CEMPRO;EQ;;
CUB-EQ;5701;CUB;EQ;;
FELIX-SM;573;FELIX;SM;;
DCMSRIND-EQ;7325;DCMSRIND;EQ;;
NILAINFRA-BL;9256;NILAINFRA;BL;;
ONEPOINT-EQ;9939;ONEPOINT;EQ;;
ICDSLTD-BE;9610;ICDSLTD;BE;;
762GS2039-GS;9538;762GS2039;GS;;
SAKAR-BL;9541;SAKAR;BL;;
ETHOSLTD-BL;9753;ETHOSLTD;BL;;
CAMPUS-BL;9367;CAMPUS;BL;;
727SK32-SG;7900;727SK32;SG;;
736KA39-SG;7910;736KA39;SG;;
LFIC-BL;7913;LFIC;BL;;
H1861D46DD-MF;8442;H1861D46DD;MF;;
AKSHAR-EQ;9558;AKSHAR;EQ;;
MAHESHWARI-EQ;9576;MAHESHWARI;EQ;;
782MN32-SG;9781;782MN32;SG;;
79AP33-SG;9785;79AP33;SG;;
803AP35-SG;9826;803AP35;SG;;
ETHOSLTD-EQ;9750;ETHOSLTD;EQ;;
776PN37-SG;9449;776PN37;SG;;
778AP42-SG;9451;778AP42;SG;;
PARADEEP-EQ;9741;PARADEEP;EQ;;
TAJGVK-EQ;9354;TAJGVK;EQ;;
DPABHUSHAN-EQ;936;DPABHUSHAN;EQ;;
772MN32-SG;9718;772MN32;SG;;
773WB32-SG;9719;773WB32;SG;;
SFMP1GD-MF;9523;SFMP1GD;MF;;
77RJ32-SG;9532;77RJ32;SG;;
EASTSILK-BE;9769;EASTSILK;BE;;
777GJ31-SG;9771;777GJ31;SG;;
78ML31-SG;9774;78ML31;SG;;
MSTCLTD-EQ;9356;MSTCLTD;EQ;;
ELGIEQUIP-EQ;937;ELGIEQUIP;EQ;;
SKIPPER-EQ;9428;SKIPPER;EQ;;
659UP30-SG;997;659UP30;SG;;
EUROTEXIND-EQ;999;EUROTEXIND;EQ;;
ARROWGREEN-BL;9263;ARROWGREEN;BL;;
STLTECH-EQ;9309;STLTECH;EQ;;
STARTECK-BL;9311;STARTECK;BL;;
715HR28-SG;9333;715HR28;SG;;
727HR30-SG;9344;727HR30;SG;;
745AP37-SG;9345;745AP37;SG;;
HIKAL-EQ;9668;HIKAL;EQ;;
TRIDENT-EQ;9685;TRIDENT;EQ;;
762MH30-SG;9695;762MH30;SG;;
772JK32-SG;9717;772JK32;SG;;
AKSHAR-BL;9575;AKSHAR;BL;;
METROPOLIS-BL;9587;METROPOLIS;BL;;
POLYCAB-BL;9594;POLYCAB;BL;;
CHEVIOT-EQ;9879;CHEVIOT;EQ;;
648MZ30-SG;988;648MZ30;SG;;
AIRAN-BL;9899;AIRAN;BL;;
788NL32-SG;9923;788NL32;SG;;
785RJ37-SG;9943;785RJ37;SG;;
METROPOLIS-EQ;9581;METROPOLIS;EQ;;
789MH32-SG;9822;789MH32;SG;;
RILINFRA-SM;9854;RILINFRA;SM;;
718KA33-SG;7694;718KA33;SG;;
643AP30-SG;976;643AP30;SG;;
NILAINFRA-EQ;9253;NILAINFRA;EQ;;
DELHIVERY-EQ;9599;DELHIVERY;EQ;;
PNC-EQ;9342;PNC;EQ;;
CREATIVEYE-EQ;9384;CREATIVEYE;EQ;;
807AP36-SG;9830;807AP36;SG;;
PRUDENT-EQ;9553;PRUDENT;EQ;;
PARADEEP-BL;9746;PARADEEP;BL;;
POLYCAB-EQ;9590;POLYCAB;EQ;;
889SCL27-YT;9277;889SCL27;YT;;
ORCHPHARMA-BL;930;ORCHPHARMA;BL;;
KRITIKA-BL;9302;KRITIKA;BL;;
LICI-EQ;9480;LICI;EQ;;
78AP31-SG;9773;78AP31;SG;;
676MP33-SG;95;676MP33;SG;;
SFMP1DR-MF;9517;SFMP1DR;MF;;
746AP27-SG;9530;746AP27;SG;;
727GS2026-GS;9537;727GS2026;GS;;
